"Politician Id","First Name","Last Name","Electoral Term","State"
11003264,"Klaus Peter","Willsch","14","Hessen"
11003264,"Klaus Peter","Willsch","15","Hessen"
11003264,"Klaus Peter","Willsch","16","Hessen"
11003264,"Klaus Peter","Willsch","17","Hessen"
11003264,"Klaus Peter","Willsch","18","Hessen"
11003264,"Klaus Peter","Willsch","19","Hessen"
11003265,"Brigitte","Wimmer","14","Baden-Württemberg"
11003265,"Brigitte","Wimmer","15","Baden-Württemberg"
11003266,"Engelbert","Wistuba","14","Sachsen-Anhalt"
11003266,"Engelbert","Wistuba","15","Sachsen-Anhalt"
11003266,"Engelbert","Wistuba","16","Sachsen-Anhalt"
11003267,"Barbara","Wittig","14","Sachsen"
11003267,"Barbara","Wittig","15","Sachsen"
11003268,"Werner","Wittlich","14","Rheinland-Pfalz"
11003268,"Werner","Wittlich","15","Rheinland-Pfalz"
11003268,"Werner","Wittlich","16","Rheinland-Pfalz"
11003269,"Aribert","Wolf","14","Bayern"
11003270,"Waltraud","Wolff","14","Sachsen-Anhalt"
11003270,"Waltraud","Wolff","15","Sachsen-Anhalt"
11003270,"Waltraud","Wolff","16","Sachsen-Anhalt"
11003270,"Waltraud","Wolff","17","Sachsen-Anhalt"
11003270,"Waltraud","Wolff","18","Sachsen-Anhalt"
11003434,"Carola","Reimann","14","Niedersachsen"
11003434,"Carola","Reimann","15","Niedersachsen"
11003434,"Carola","Reimann","16","Niedersachsen"
11003434,"Carola","Reimann","17","Niedersachsen"
11003434,"Carola","Reimann","18","Niedersachsen"
11003434,"Carola","Reimann","19","Niedersachsen"
11003440,"Kerstin","Griese","14","Nordrhein-Westfalen"
11003440,"Kerstin","Griese","15","Nordrhein-Westfalen"
11003440,"Kerstin","Griese","16","Nordrhein-Westfalen"
11003440,"Kerstin","Griese","17","Nordrhein-Westfalen"
11003440,"Kerstin","Griese","18","Nordrhein-Westfalen"
11003440,"Kerstin","Griese","19","Nordrhein-Westfalen"
11003450,"Ulrich","Kelber","17","Nordrhein-Westfalen"
11003450,"Ulrich","Kelber","18","Nordrhein-Westfalen"
11003450,"Ulrich","Kelber","19","Nordrhein-Westfalen"
11003450,"Ulrich","Kelber","14","Nordrhein-Westfalen"
11003450,"Ulrich","Kelber","15","Nordrhein-Westfalen"
11003450,"Ulrich","Kelber","16","Nordrhein-Westfalen"
11003482,"Gabriele","Lösekrug-Möller","14","Niedersachsen"
11003482,"Gabriele","Lösekrug-Möller","15","Niedersachsen"
11003482,"Gabriele","Lösekrug-Möller","16","Niedersachsen"
11003482,"Gabriele","Lösekrug-Möller","17","Niedersachsen"
